Confidence interval:
187.87031483738429 178.75936475423026 196.9812649205383
-2862.324086940078 -3084.1411534269814 -2640.5070204531744
-1011.1847066870758 -1233.0017751095886 -789.3676382645631
36578.84856531761 34137.83160235197 39019.86552828325
8524.615019182153 6605.070339450039 10444.159698914267
8439.561470394654 5998.551411489798 10880.57152929951
-196925.3355757844 -210752.35878326252 -183098.3123683063
-89359.25110523916 -99543.96153008104 -79174.54068039729
-42140.7741290185 -52325.51763382781 -31956.03062420919
-28869.632345691643 -42696.58934225747 -15042.675349125811
569196.3550914061 524785.1352661358 613607.5749166765
369930.65670003067 338102.1585396857 401759.1548603756
161539.13362010405 131692.89368885453 191385.37355135358
155472.58686220043 123643.98498278402 187301.18874161685
41685.18379224767 -2725.79451697116 86096.1621014665
-948750.0441602876 -1032876.2094354124 -864623.8788851628
-743092.1798993595 -803269.8622751893 -682914.4975235297
-538261.7501815048 -592778.4168693589 -483745.0834936506
-185479.82520304044 -239996.63960025346 -130963.01080582742
-280832.20333947195 -341009.9968253362 -220654.4098536077
-12917.14808614034 -97042.8715121692 71208.57533988851
906521.426657596 813516.2002177864 999526.6530974057
885561.1890694207 817187.5468445831 953934.8312942582
699318.8717126847 638654.8231758885 759982.920249481
287308.01891579357 228660.45812348175 345955.5797081054
246050.0882297021 185385.84041580738 306714.3360435968
242212.57273834007 173838.90430211445 310586.2411745657
-35609.49399210047 -128614.28645017665 57395.298465975706
-459033.5814337823 -514471.66913467675 -403595.49373288784
-630438.5193743476 -673848.5642811513 -587028.474467544
-223547.00940660966 -262372.7557358817 -184721.26307733761
-515211.9040447804 -551916.1989003415 -478507.6091892193
41204.36168421601 4500.013160871218 77908.7102075608
-180458.57759440318 -219284.42081969208 -141632.73436911427
-114524.92209599479 -157934.9413695279 -71114.90282246168
45334.52103549734 -10103.347598218541 100772.38966921321
95254.90846349573 81502.92372656988 109006.89320042157
199773.88149391284 187850.3066802113 211697.45630761437
-69406.16332999745 -80974.15407118185 -57838.172588813046
319771.9005376325 308329.76503389986 331214.0360413652
-152869.15695580607 -164277.46435301454 -141460.8495585976
126210.81146210818 114768.66152077458 137652.9614034418
-14342.663765900425 -25910.669639349708 -2774.6578924511414
37240.98195506388 25317.41914205937 49164.54476806839
-17219.20076387655 -30971.140789715806 -3467.260738037292
